Lowestoft / Lowestoft Monckton Ave from Sept 2007
Location 6543E 2946N 25m amsl to July 2007 & from Sept 2007 6530E 2938N 18m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1925   1    7.7     3.2    ---     22.0    59.5
   1925   2    8.4     2.6    ---     50.0    92.4
   1925   3    7.3     2.1    ---     41.0   104.8
   1925   4   10.9     4.6    ---     56.0   155.6
   1925   5   15.3     8.8    ---     51.0   261.4
   1925   6   16.7    10.6    ---     17.0   242.3
   1925   7   19.8    13.3    ---     55.0   241.4
   1925   8   19.9    13.1    ---     52.0   175.7
   1925   9   15.3     9.1    ---     69.0   133.0
   1925  10   14.1     8.2    ---     46.0   115.7
   1925  11    7.8     3.8    ---    112.0    90.5
   1925  12    5.4     1.2    ---     56.0    74.6
   1926   1    6.5     1.4    ---     59.0    60.8
   1926   2    8.8     4.3    ---     46.0    49.5
   1926   3    9.5     3.6    ---      7.0   147.3
   1926   4   12.0     6.2    ---     68.0   136.4
   1926   5   13.1     7.2    ---     33.0   242.3
   1926   6   16.7    10.2    ---     86.0   183.8
   1926   7   18.8    13.0    ---     51.0   219.5
   1926   8   20.4    13.4    ---     37.0   222.6
   1926   9   19.0    11.9    ---     20.0   140.2
   1926  10   12.4     6.5    ---     62.0   123.0
   1926  11    9.6     5.2    ---     72.0    39.0
   1926  12    6.6     2.1    ---     18.0    64.1
   1927   1    7.0     1.6    ---     37.0    64.6
   1927   2    7.1     1.6    ---     49.0    72.4
   1927   3   10.5     4.5    ---     43.0   144.3
   1927   4   12.6     5.0    ---     40.0   171.4
   1927   5   13.5     6.9    ---     15.0   205.7
   1927   6   16.1     9.4    ---     93.0   175.3
   1927   7   18.5    12.5    ---     53.0   167.5
   1927   8   19.8    13.3    ---     81.0   211.5
   1927   9   16.8    10.4    ---    123.0   127.3
   1927  10   14.0     8.0    ---     54.0   119.9
   1927  11    9.2     3.9    ---    102.0    54.7
   1927  12    4.4     1.6    ---     63.0    30.5
   1928   1    7.8     1.9    ---     75.0    61.7
   1928   2    8.4     2.7    ---     26.0   103.4
   1928   3    8.0     3.2    ---     34.0   109.6
   1928   4   10.4     4.7    ---     32.0   162.8
   1928   5   12.1     7.3    ---     44.0   177.8
   1928   6   17.8     9.7    ---     42.0   216.7
   1928   7   22.1    12.8    ---     51.0   259.9
   1928   8   20.2    12.7    ---     48.0   206.0
   1928   9   18.0    10.7    ---     23.0   228.6
   1928  10   14.4     8.3    ---     43.0   124.5
   1928  11   11.1     5.6    ---     70.0    69.9
   1928  12    6.7     1.8    ---     72.0    58.5
   1929   1    3.6     0.0    ---     35.0    40.9
   1929   2    1.9    -2.3    ---     14.0    57.1
   1929   3    8.9     1.2    ---      1.0   170.1
   1929   4    8.9     2.8    ---     31.0   157.2
   1929   5   12.9     6.8    ---     19.0   225.2
   1929   6   16.9    10.2    ---     15.0   185.7
   1929   7   19.8    12.6    ---     61.0   261.4
   1929   8   20.4    12.8    ---     33.0   208.7
   1929   9   20.3    13.2    ---      5.0   216.4
   1929  10   14.2     6.7    ---     65.0   145.3
   1929  11   10.0     4.3    ---     84.0    69.4
   1929  12    8.6     3.5    ---    111.0    71.4
   1930   1    8.3     3.7    ---     42.0    65.0
   1930   2    5.3     1.8    ---     24.0    83.2
   1930   3    8.7     2.1    ---     27.0   156.1
   1930   4   10.5     4.7    ---     41.0   153.9
   1930   5   14.1     7.4    ---     64.0   208.1
   1930   6   18.9    11.4    ---     25.0   246.0
   1930   7   19.3    12.1    ---     86.0   184.6
   1930   8   20.2    12.2    ---     66.0   238.5
   1930   9   17.2    11.4    ---    133.0   138.4
   1930  10   14.2     7.6    ---     21.0   163.0
   1930  11    9.8     3.2    ---     93.0    81.9
   1930  12    6.9     1.7    ---     51.0    54.5
   1931   1    5.5     0.7      10    50.2    ---
   1931   2    5.8     0.8       8    69.8    69.0
   1931   3    6.0     0.6      12    12.2    ---
   1931   4   10.5     4.4       0    70.6   150.8
   1931   5   14.9     7.8       0    84.5   201.8
   1931   6   17.9    10.8       0    30.0   213.8
   1931   7   19.1    12.2       0   102.5   175.0
   1931   8   17.4    11.6       0    67.2    ---
   1931   9   15.2     8.5       0    59.3   122.9
   1931  10   12.7     6.0       3    29.4   127.2
   1931  11   10.7     6.4       0    56.3    ---
   1931  12    7.0     2.7       5    37.1    38.5
   1932   1    8.3     2.8       6    21.6    ---
   1932   2    5.9     1.4       5    15.1    ---
   1932   3    6.9     1.5      11    34.2   132.0
   1932   4   10.2     3.6       0    61.3    ---
   1932   5   13.3     7.0       0    69.3   125.9
   1932   6   16.9     9.6       0    10.3   189.2
   1932   7   20.5    12.9       0    94.9   148.4
   1932   8   21.6    14.2       0    55.6   174.1
   1932   9   18.5    10.8       0    44.6   115.6
   1932  10   12.8     6.2       0    93.9    ---
   1932  11    9.3     5.0       0    39.6    49.9
   1932  12    7.6     3.3       3    17.7    ---
   1933   1    5.2     0.8      13    22.5    74.6
   1933   2    7.1     1.2      10    41.0    84.3
   1933   3   10.7     3.2       3    35.6    ---
   1933   4   13.3     4.8       3    24.4   164.4
   1933   5   14.0     7.5       0    40.6    ---
   1933   6   18.0    10.4       0    62.1   227.5
   1933   7   22.2    13.0       0    23.7   260.4
   1933   8   23.0    13.7       0    25.9   246.0
   1933   9   19.6    12.9       0    84.6   191.2
   1933  10   14.6     8.3       0    93.0   115.8
   1933  11    9.0     4.9       0    88.6    ---
   1933  12    4.0     0.3      12    17.3    49.5
   1934   1    7.0     2.1       3    32.6    69.8
   1934   2    7.5     0.4      10    10.4    ---
   1934   3    7.9     1.7       4    40.1   132.3
