Wick Airport
Location  3365E 9522N 36m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1918   2    7.2     2.8    ---     58.4    ---
   1918   3    7.3     1.8    ---     35.6    ---
   1918   4    7.4     2.4    ---     30.5    ---
   1918   5   11.7     6.9    ---     35.6    ---
   1918   6   13.0     6.2    ---     40.6    ---
   1918   7   13.6     9.7    ---    139.7    ---
   1918   8   15.0    10.3    ---    127.0    ---
   1918   9   11.5     5.3    ---    101.6    ---
   1918  10   10.8     5.6    ---     48.3    ---
   1918  11    8.5     3.1    ---     53.3    ---
   1918  12    6.9     2.7    ---     96.5    ---
   1919   1    5.8     2.4    ---     81.3    ---
   1919   2    4.3    -1.1    ---     38.1    ---
   1919   3    4.9    -0.4    ---     86.4    ---
   1919   4    9.2     2.7    ---     50.8    ---
   1919   5   10.8     6.3    ---     15.2    ---
   1919   6   13.5     7.7    ---     73.7    ---
   1919   7   13.7     8.3    ---     20.3    ---
   1919   8   14.7     8.8    ---     86.4    ---
   1919   9   13.3     6.7    ---     96.5    ---
   1919  10   10.2     4.7    ---     71.1    ---
   1919  11    5.7     0.2    ---    124.5    ---
   1919  12    5.7     0.5    ---    124.5    ---
   1920   1    5.8     0.2    ---     83.8    ---
   1920   2    7.4     1.7    ---     60.2    ---
   1920   3    7.7     1.9    ---     80.5    ---
   1920   4    7.8     2.9    ---     50.8    ---
   1920   5   10.9     5.1    ---     72.6    ---
   1920   6   12.6     7.9    ---     19.8    ---
   1920   7   14.8     8.6    ---     48.0    ---
   1920   8   14.0     8.4    ---     24.1    ---
   1920   9   13.3     7.1    ---     62.0    ---
   1920  10   11.8     8.6    ---     15.7    ---
   1920  11    9.9     5.0    ---     84.6    ---
   1920  12    7.0     2.3    ---     60.7    ---
   1921   1    7.2     1.7    ---     71.6    ---
   1921   2    7.9     3.1    ---     28.7    ---
   1921   3    7.9     1.6    ---     40.9    ---
   1921   4    9.6     3.7    ---     25.9    ---
   1921   5   11.9     5.1    ---     43.2    ---
   1921   6   13.2     7.3    ---     28.4    ---
   1921   7   14.9     9.3    ---     61.5    ---
   1921   8   14.1     8.6    ---     47.2    ---
   1921   9   13.7     8.5    ---     80.8    ---
   1921  10   12.2     7.4    ---     58.7    ---
   1921  11    7.1     3.4    ---     49.5    ---
   1921  12    7.2     3.3    ---    105.2    ---
   1922   1    4.9     1.9    ---     83.1    ---
   1922   2    5.8     1.7    ---     45.7    ---
   1922   3    6.7     1.9    ---     42.7    ---
   1922   4    6.9     1.4    ---     86.6    ---
   1922   5   11.8     5.2    ---     46.5    ---
   1922   6   12.5     6.9    ---     46.0    ---
   1922   7   13.3     7.8    ---     80.3    ---
   1922   8   13.6     8.3    ---     52.1    ---
   1922   9   12.6     7.2    ---     71.4    ---
   1922  10   10.2     5.9    ---     39.1    ---
   1922  11    8.1     3.8    ---     67.8    ---
   1922  12    7.1     3.6    ---     60.5    ---
   1923   1    7.1     3.1    ---    100.8    ---
   1923   2    5.7    ---     ---     62.0    ---
   1923   3    6.9     3.9    ---     18.3    ---
   1923   4    7.0     3.8    ---     69.6    ---
   1923   5    9.3     3.9    ---     93.2    ---
   1923   6   12.2     7.0    ---     57.4    ---
   1923   7   15.2    10.1    ---     69.9    ---
   1923   8   14.3     9.3    ---     91.4    ---
   1923   9   12.8     7.3    ---     84.8    ---
   1923  10   10.2     5.4    ---    112.3    ---
   1923  11    5.9     2.0    ---    111.0    ---
   1923  12    5.4     1.9    ---    110.5    ---
   1924   1    6.1     3.4    ---     49.5    ---
   1924   2    5.7     2.7    ---     57.2    ---
   1924   3    4.9     0.9    ---     39.9    ---
   1924   4    8.2     2.6    ---     26.2    ---
   1924   5    9.4     5.1    ---     58.4    ---
   1924   6   12.1     7.4    ---     36.6    ---
   1924   7   14.8     9.6    ---     97.8    ---
   1924   8   14.8    10.3    ---     58.4    ---
   1924   9   13.2     8.1    ---    103.1    ---
   1924  10   11.1     6.9    ---     59.7    ---
   1924  11    9.2     6.2    ---     37.8    ---
   1924  12    8.2     5.1    ---     37.6    ---
   1925   1    6.6     3.7    ---     39.6    ---
   1925   2    5.7     1.7    ---     77.2    ---
   1925   3    6.7     1.7    ---     58.7    ---
   1925   4    8.2     3.1    ---     41.9    ---
   1925   5   10.4     6.5    ---     53.6    ---
   1925   6   13.7     8.3    ---     34.5    ---
   1925   7   15.4    10.8    ---     77.5    ---
   1925   8   14.1     9.5    ---     47.0    ---
   1925   9   11.5     7.4    ---     47.0    ---
   1925  10   10.4     6.7    ---     73.9    ---
   1925  11    6.7     2.5    ---     47.5    ---
   1925  12    4.1     0.2    ---     65.8    ---
   1926   1    6.3     3.6    ---     56.4    ---
   1926   2    6.7     3.3    ---     53.3    ---
   1926   3    7.6     3.1    ---     70.6    ---
   1926   4    9.2     5.0    ---     68.8    ---
