Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1972   8   14.9     8.9       0    ---     78.1
   1972   9   13.7     6.9       0    ---     93.7
   1972  10   12.4     7.1       0    ---     78.8
   1972  11    7.8     2.7       5    ---     32.1
   1972  12    8.1     2.7       7    ---     37.3
   1973   1    7.2     3.2       4    ---     21.4
   1973   2    6.4     1.8       8    ---     53.8
   1973   3    9.1     2.9       7    ---    105.8
   1973   4    8.5     3.8       2    ---    133.8
   1973   5   11.9     6.2       0    ---    130.2
   1973   6   16.5     8.1       0    ---    167.9
   1973   7   16.4    10.1       0    ---    126.5
   1973   8   17.0    10.3       0    ---    124.6
   1973   9   15.1     8.6       0    ---    121.6
   1973  10   11.2     5.8       0    ---     76.1
   1973  11    8.3     2.9       6    ---     36.9
   1973  12    7.5     1.9       6    ---     32.1
   1974   1    8.1     2.5       5    ---     39.6
   1974   2    7.1     1.9       6    ---     59.3
   1974   3    7.6     2.0       5    ---    100.7
   1974   4   11.4     2.2       6    ---    245.6
   1974   5   12.0     5.8       0    ---    155.6
   1974   6   15.4     7.0       0    ---    181.8
   1974   7   ---     ---        0    ---    138.3
   1974   8   17.1     9.2       0    ---    167.3
   1974   9   12.6     6.4       1    ---    109.7
   1974  10    9.8     4.7       0    ---     75.1
   1974  11    8.1     2.1       3    ---     62.4
   1974  12    8.9     3.8       0    ---     23.6
   1975   1    8.1     2.6       5    ---     44.5
   1975   2    7.5     2.4       2    ---     79.0
   1975   3    7.0     1.2       8    ---    144.5
   1975   4   10.1     3.6       5    ---    132.9
   1975   5   12.1     3.8       1    ---    279.3
   1975   6   16.6     7.6       1    ---    242.4
   1975   7   17.8    10.0       0    ---    168.8
   1975   8   19.0    10.6       0    ---    147.1
   1975   9   14.6     7.5       0    ---    104.6
   1975  10   12.4     6.8       0    ---     87.0
   1975  11    8.9     3.3       3    ---     60.5
   1975  12    7.9     3.3       3    ---     33.5
   1976   1    7.3     3.2       2    ---     36.5
   1976   2    7.1     2.8       1    ---     55.7
   1976   3    7.5     2.2       2    ---     65.6
   1976   4   10.5     3.6       2    ---    179.4
   1976   5   12.7     5.5       0    ---    140.4
   1976   6   18.6     9.1       0    ---    186.7
   1976   7   18.0    10.8       0    ---    126.8
   1976   8   19.4     9.1       0    ---    272.6
   1976   9   14.3     8.5       0    ---    107.7
   1976  10   11.7     5.5       0    ---     80.4
   1976  11    8.4     2.5       4    ---     85.6
   1976  12    4.6    -0.5      16    ---     41.5
   1977   1    5.3    -0.2      13    ---     50.1
   1977   2    5.7     0.0      12    ---     65.1
   1977   3    8.8     2.6       2    ---     64.5
   1977   4    9.2     2.5       4    ---    150.3
   1977   5   12.8     3.4       4    ---    253.7
